品规ID,档位,订足面,订足率,订单满足率,订购率,上期策略,总户数,订购量,需求量,投放量,品规名
6901028054898,十三档,0.914285714,0.6,0.79245283,0.018382353,2,1904,42,53,70,玉溪(创客)
6901028054898,十二档,0.875,0.5,0.888888889,0.005449591,2,1468,8,9,16,玉溪(创客)
6901028054898,二十五档,1,0.75,1,0.205128205,2,78,24,24,32,玉溪(创客)
6901028054898,二十四档,0.962025316,0.803797468,0.907142857,0.130794702,2,604,127,140,158,玉溪(创客)
6901028054898,二十三档,0.984126984,0.738095238,0.978947368,0.094594595,2,666,93,95,126,玉溪(创客)
6901028054898,二十二档,0.966666667,0.816666667,0.98,0.079155673,2,758,98,100,120,玉溪(创客)
6901028054898,二十一档,0.961538462,0.817307692,0.625,0.067444877,2,771,85,136,104,玉溪(创客)
6901028054898,二十档,0.983333333,0.791666667,0.989583333,0.052956752,2,1133,95,96,120,玉溪(创客)
6901028054898,十九档,0.928571429,0.75,0.768292683,0.038817006,2,1082,63,82,84,玉溪(创客)
6901028054898,七档,0.857142857,1,0.875,0.006903353,1,1014,7,8,7,玉溪(创客)
6901028054898,六档,1,1,1,0.001082251,1,924,1,1,1,玉溪(创客)
6901028054898,五档,0.75,1,0.571428571,0.004464286,1,896,4,7,4,玉溪(创客)
6901028054898,二十八档,0.921568627,0.450980392,0.901960784,0.156441718,4,326,92,102,204,玉溪(创客)
6901028054898,二十七档,0.952380952,0.928571429,0.829787234,0.122093023,2,344,78,94,84,玉溪(创客)
6901028054898,二十六档,0.917647059,0.835294118,0.871165644,0.126865672,2,670,142,163,170,玉溪(创客)
6901028054898,一档,NA,NA,NA,NA,NA,NA,NA,NA,NA,玉溪(创客)
6901028054898,八档,1,1.333333333,1,0.003141361,1,955,4,4,3,玉溪(创客)
6901028054898,三档,1,1,1,0.002670227,1,749,2,2,2,玉溪(创客)
6901028054898,二档,1,1,1,0.006389776,1,626,4,4,4,玉溪(创客)
6901028054898,四档,0.666666667,1,0.6,0.003605769,1,832,3,5,3,玉溪(创客)
6901028062015,二十八档,0.851851852,0.661728395,0.872964169,0.496932515,5,326,536,614,810,苏烟(五星红杉树)
6901028062015,二十七档,0.83030303,0.59030303,0.81986532,0.479651163,5,344,487,594,825,苏烟(五星红杉树)
6901028062015,二十五档,0.857142857,0.657142857,0.544378698,0.448717949,4,78,92,169,140,苏烟(五星红杉树)
6901028062015,七档,1,0.683333333,1,0.029585799,2,1014,41,41,60,苏烟(五星红杉树)
6901028062015,六档,0.925925926,0.648148148,0.921052632,0.029220779,2,924,35,38,54,苏烟(五星红杉树)
6901028062015,二十六档,0.872483221,0.613255034,0.874401914,0.444776119,4,670,731,836,1192,苏烟(五星红杉树)
6901028062015,三十档,0.838174274,0.677534084,0.861341372,0.488843813,7,493,1143,1327,1687,苏烟(五星红杉树)
6901028062015,二十九档,0.850152905,0.664118247,0.836328626,0.495454545,6,660,1303,1558,1962,苏烟(五星红杉树)
6901028062015,十五档,0.93627451,0.786764706,0.933139535,0.106084243,2,1923,321,344,408,苏烟(五星红杉树)
6901028062015,十四档,0.954022989,0.712643678,0.932330827,0.081232493,2,1071,124,133,174,苏烟(五星红杉树)
6901028062015,十三档,0.912408759,0.744525547,0.677740864,0.071953782,2,1904,204,301,274,苏烟(五星红杉树)
6901028062015,十二档,0.920454545,0.693181818,0.865248227,0.059945504,2,1468,122,141,176,苏烟(五星红杉树)
6901028062015,十一档,0.925,0.7,0.868217054,0.050219711,2,1593,112,129,160,苏烟(五星红杉树)
6901028062015,十档,0.931034483,0.689655172,0.952380952,0.034482759,2,841,40,42,58,苏烟(五星红杉树)
6901028062015,九档,0.96875,0.703125,0.9375,0.036781609,2,870,45,48,64,苏烟(五星红杉树)
6901028062015,八档,0.833333333,0.75,0.76056338,0.037696335,2,955,54,71,72,苏烟(五星红杉树)
6901028062015,二十一档,0.919354839,0.612903226,0.888888889,0.321660182,3,771,456,513,744,苏烟(五星红杉树)
6901028062015,二十档,0.898305085,0.571751412,0.821428571,0.260370697,3,1133,506,616,885,苏烟(五星红杉树)
6901028062015,十九档,0.906015038,0.540100251,0.881390593,0.245841035,3,1082,431,489,798,苏烟(五星红杉树)
6901028062015,十八档,0.919413919,0.820512821,0.881889764,0.205882353,2,1326,448,508,546,苏烟(五星红杉树)
6901028062015,十七档,0.948275862,0.789655172,0.921529175,0.178242163,2,1627,458,497,580,苏烟(五星红杉树)
6901028062015,十六档,0.944055944,0.758741259,0.921443737,0.146591492,2,1951,434,471,572,苏烟(五星红杉树)
6901028062015,三档,0.647058824,0.705882353,0.75,0.022696929,2,749,24,32,34,苏烟(五星红杉树)
6901028062015,二档,1,0.6875,1,0.012779553,2,626,11,11,16,苏烟(五星红杉树)
6901028062015,一档,0.916666667,0.708333333,0.944444444,0.004713276,2,2546,17,18,24,苏烟(五星红杉树)
6901028062015,五档,0.954545455,0.681818182,0.9375,0.024553571,2,896,30,32,44,苏烟(五星红杉树)
6901028062015,二十四档,0.872,0.562,0.864615385,0.413907285,4,604,562,650,1000,苏烟(五星红杉树)
6901028062015,二十三档,0.897233202,0.514822134,0.909249564,0.37987988,4,666,521,573,1012,苏烟(五星红杉树)
6901028062015,二十二档,0.915708812,0.634738186,0.900362319,0.344327177,3,758,497,552,783,苏烟(五星红杉树)
6901028062015,四档,0.769230769,0.807692308,0.807692308,0.015625,2,832,21,26,26,苏烟(五星红杉树)
6901028062329,二十六档,0.885964912,0.578947368,0.870712401,0.340298507,5,670,660,758,1140,南京(十二钗烤烟)
6901028062329,五档,0.958333333,0.854166667,0.976190476,0.026785714,2,896,41,42,48,南京(十二钗烤烟)
6901028062329,六档,0.888888889,0.777777778,0.823529412,0.019480519,2,924,28,34,36,南京(十二钗烤烟)
6901028062329,二十七档,0.93129771,0.563613232,0.938559322,0.380813953,6,344,443,472,786,南京(十二钗烤烟)
6901028062329,十四档,0.947368421,0.514619883,0.926315789,0.053221289,3,1071,88,95,171,南京(十二钗烤烟)
6901028062329,二十五档,1,0.509090909,1,0.282051282,5,78,56,56,110,南京(十二钗烤烟)
