item_id,level,date,dzm,dzl,ddmz,dgl,stragety,group_num,dg_qty,xq_qty
6901028114455 ,十四档,20170822 - 20170825,0.781818182,1,0.539215686,0.045342127,1,1213,55,102
6901028114455 ,十三档,20170822 - 20170825,0.789473684,1,0.612903226,0.031353135,1,1212,38,62
6901028114455 ,十二档,20170822 - 20170825,0.790697674,0.976744186,0.494117647,0.035449299,1,1213,42,85
6901028114455 ,十一档,20170822 - 20170825,0.833333333,1,0.857142857,0.024752475,1,1212,30,35
6901028114455 ,十档,20170822 - 20170825,0.846153846,1,0.866666667,0.021452145,1,1212,26,30
6901028114455 ,九档,20170822 - 20170825,0.769230769,1,0.619047619,0.02143446,1,1213,26,42
6901028114455 ,八档,20170822 - 20170825,0.727272727,1,0.5,0.018151815,1,1212,22,44
6901028114455 ,七档,20170822 - 20170825,0.789473684,1,0.365384615,0.015663644,1,1213,19,52
6901028114455 ,六档,20170822 - 20170825,1,1,1,0.008250825,1,1212,10,10
6901028114455 ,五档,20170822 - 20170825,0.727272727,1,0.785714286,0.009075908,1,1212,11,14
6901028114455 ,四档,20170822 - 20170825,0.714285714,1,0.368421053,0.005770816,1,1213,7,19
6901028114455 ,三档,20170822 - 20170825,0.8,1,0.666666667,0.008250825,1,1212,10,15
6901028114455 ,二档,20170822 - 20170825,0.933333333,1,0.9375,0.012366035,1,1213,15,16
6901028114455 ,一档,20170822 - 20170825,0.666666667,1,0.428571429,0.002475248,1,1212,3,7
